1;Aide menu;-1;RAPPEL MENU;;;;;;;;;;;;67;250;Aide menu;250;Aide menu;;;
1;Aide menu;-1;RAPPEL MENU;;;;;;;;;;;;67;250;Aide menu;250;RAPPEL MENU;;;
1;Aide menu;-1;RAPPEL MENU;;;;;;;;;;;;67;250;RAPPEL MENU;250;Aide menu;;;
1;Aide menu;-1;RAPPEL MENU;;;;;;;;;;;;67;250;RAPPEL MENU;250;RAPPEL MENU;;;
2;SGROPPINO;13720;Sgroppino;15; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%;1;TVA 20%;64;26;COCKTAILS -->; ;; ;SGROPPINO;
3;SUGGESTION;12599;SUGGESTION HOMARD; ; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64; ;; ;; ;SUGG;
4;MOJITO CLASSIQUE;12671;BT.APEROL//;15; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%;1;TVA 20%;64;26;COCKTAILS -->; ;; ;MOJITO CLASSIQUE;
5;PLATS VEGETARIENS; ; APERITIFS -->;2,54;;;;;;;;;;;67;69;PLATS VEGETARIENS;;;;;
6;BOUT WHISKY; ; APERITIFS -->;2,54;;;;;;;;;;;67;58;BOUT WHISKY;;;;;
7;BOUT GIN; ; APERITIFS -->;2,54;;;;;;;;;;;67;59;BOUT GIN;;;;;
8;BOUT VODKA; ; APERITIFS -->;2,54;;;;;;;;;;;67;60;BOUT VODKA;;;;;
9;BOUT RHUM; ; APERITIFS -->;2,54;;;;;;;;;;;67;61;BOUT RHUM;;;;;
10;BOUT TEQUILA; ; APERITIFS -->;2,54;;;;;;;;;;;67;62;BOUT TEQUILA;;;;;
11;BOUT COGNAC/ARMAGNAC; ; APERITIFS -->;2,54;;;;;;;;;;;67;63;BOUT COGNAC/ARMAGNAC;;;;;
12;TANQUERAY 10;12681;BT.TANQUERAY 0.7;150; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%;1;TVA 20%;64;59;BOUT GIN; ;; ;BT. TANQUERAY 10;
13;NATURE;12758;NATURE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;96;27;ADD-> SODAS; ;; ;NATURE;
14;GLACE;12759;GLACE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;96;27;ADD-> SODAS; ;; ;GLACE;
15;CRISTAL ROSE;13702;CRISTAL ROSE;800; ; ;17;CHAMP ROSE;22;VINS;1;TVA 20%;1;TVA 20%;64;14;CHAMPAGNE -->; ;; ;CRISTAL ROSE;
16;TRUFFLES QUENELLE;13710;"Truffles Quenelles ""a La Lyonnaise"" /veget/";26; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;69;PLATS VEGETARIENS; ;; ;TRUFFLES QUENELLES;
17;TRUFFE NOIR 1GR;13695;Truffe noire 1gr;9; ; ;1;ENTREE; ; ;2;TVA 10%;2;TVA 10%;64;68;ACCOMPAGNEMENTS; ;; ;TRUFFE NOIR 1GR;
18;RISOTTO PRIMAVERA;13709;Risotto Primavera /vegetable/;26; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;69;PLATS VEGETARIENS; ;; ;RISOTTO PRIMAVERA;
